doc_id	variant	group_id	chain_id	link	shift	length	content	tk_shifts	attributes	head	hd_shifts
2	1	407977	1053	0	16	15	Елена Сергеевна	16,22	ref:def|str:noun|type:coref	Елена Сергеевна	16,22
2	1	407978	1053	407977	38	18	Старая учительница	38,45	ref:def|str:noun|type:coref	учительница	45
2	1	407979	1053	407978	91	3	нею	91	ref:def|str:pron|type:coref		
2	1	407983	1052	0	101	25	невысокий молодой человек	101,111,119	ref:def|str:noun|type:coref	молодой человек	111,119
2	1	407980	1052	407983	128	2	Он	128	ref:def|str:pron|type:coref		
2	1	407981	1053	407979	142	3	нее	142	ref:def|str:pron|type:coref		
2	1	407982	1053	407981	167	3	она	167	ref:def|str:pron|type:coref		
2	1	407984	1052	407980	233	3	его	233	ref:def|str:pron|type:coref		
2	1	407985	1052	407983	243	9	Дементьев	243	ref:ds|str:noun|type:coref		
2	1	407986	1053	407979	264	3	она	264	ref:def|str:pron|type:coref		
2	1	407987	1052	407985	280	2	Ты	280	ref:ds|str:pron|type:coref		
2	1	407988	1052	407985	300	1	я	300	ref:ds|str:pron|type:coref		
2	1	407989	1052	407988	312	7	человек	312	ref:def|str:noun|type:coref		
2	1	407990	1053	407986	339	3	Она	339	ref:def|str:pron|type:coref		
2	1	407991	1052	407989	354	2	он	354	ref:def|str:pron|type:coref		
2	1	407992	1053	407990	372	3	нею	372	ref:def|str:pron|type:coref		
2	1	407993	1052	407991	389	2	ты	389	ref:ds|str:pron|type:coref		
2	1	407994	1052	407993	403	9	Дементьев	403	ref:ds|str:noun|type:coref		
2	1	407995	1052	407994	444	2	он	444	ref:def|str:pron|type:coref		
2	1	407996	1052	407995	460	1	Я	460	ref:ds|str:pron|type:coref		
2	1	407997	1052	407996	462	5	актер	462	ref:pred|str:noun|type:coref		
2	1	407998	1053	407990	549	2	вы	549	ref:ds|str:pron|type:coref		
2	1	407999	1053	407998	557	5	вы - то	557,559,560	ref:ds|str:pron|type:coref	вы	557
2	1	408000	1053	407999	579	1	Я	579	ref:ds|str:pron|type:coref		
2	1	408001	1053	408000	610	3	она	610	ref:def|str:pron|type:coref		
2	1	408002	1053	408000	738	3	Она	738	ref:def|str:pron|type:coref		
2	1	408003	1053	408002	790	3	Мне	790	ref:ds|str:pron|type:coref		
2	1	408121	1041	0	794	13	комнату новую	794,802	ref:def|str:noun|type:coref	комнату	794
2	1	408004	1053	408003	870	2	ее	870	ref:def|str:poss|type:coref		
2	1	408005	1052	407997	892	10	Дементьева	892	ref:def|str:noun|type:coref		
2	1	408006	1053	408004	913	2	вы	913	ref:ds|str:pron|type:coref		
2	1	408007	1053	408006	940	15	Елена Сергеевна	940,946	ref:ds|str:noun|type:coref	Елена Сергеевна	940,946
2	1	408008	1052	408005	966	2	он	966	ref:def|str:pron|type:coref		
2	1	408122	1041	408121	1010	7	комната	1010	ref:def|str:noun|type:coref		
2	1	408009	1052	408008	1071	1	я	1071	ref:ds|str:pron|type:coref		
2	1	408123	1040	0	1139	6	Соседи	1139	ref:def|str:noun|type:coref		
2	1	408124	1040	408123	1152	6	Соседи	1152	ref:def|str:noun|type:coref		
2	1	408010	1053	408007	1177	15	Елена Сергеевна	1177,1183	ref:def|str:noun|type:coref	Елена Сергеевна	1177,1183
2	1	408011	1053	408010	1207	1	я	1207	ref:ds|str:pron|type:coref		
2	1	408012	1053	408011	1256	3	Мои	1256	ref:ds|str:poss|type:coref		
2	1	408013	1040	408124	1256	10	Мои соседи	1256,1260	ref:def|str:noun|type:coref	соседи	1260
2	1	408014	1040	408013	1290	4	себя	1290	ref:def|str:refl|type:coref		
2	1	408015	1040	408014	1326	3	они	1326	ref:def|str:pron|type:coref		
2	1	408016	1040	408015	1355	3	Они	1355	ref:def|str:pron|type:coref		
2	1	408017	1053	408011	1388	3	мой	1388	ref:ds|str:poss|type:coref		
2	1	408018	1053	408017	1438	3	мне	1438	ref:ds|str:noun|type:coref		
2	1	408019	1040	408014	1498	2	их	1498	ref:def|str:poss|type:coref		
2	1	408020	1052	408009	1570	2	ты	1570	ref:ds|str:pron|type:coref		
2	1	408021	1052	408020	1573	7	мужчина	1573	ref:pred|str:noun|type:coref		
2	1	408022	1052	408020	1582	2	ты	1582	ref:ds|str:pron|type:coref		
2	1	408023	1053	408018	1680	1	Я	1680	ref:ds|str:pron|type:coref		
2	1	408024	1040	408019	1692	4	ними	1692	ref:def|str:pron|type:coref		
2	1	408025	1052	408020	1735	9	Дементьев	1735	ref:def|str:noun|type:coref		
2	1	408026	1052	408025	1756	4	него	1756	ref:def|str:pron|type:coref		
2	1	408027	1053	408023	1780	2	вы	1780	ref:ds|str:pron|type:coref		
2	1	408028	1053	408027	1828	2	вы	1828	ref:ds|str:pron|type:coref		
2	1	408029	1053	408028	1857	3	вас	1857	ref:ds|str:pron|type:coref		
2	1	408030	1052	408026	1876	1	я	1876	ref:ds|str:pron|type:coref		
2	1	408031	1052	408026	1888	1	Я	1888	ref:ds|str:pron|type:coref		
2	1	408032	1053	408029	1908	3	вам	1908	ref:ds|str:pron|type:coref		
2	1	408033	1053	408028	1935	15	Елена Сергеевна	1935,1941	ref:ds|str:noun|type:coref	Елена Сергеевна	1935,1941
2	1	408034	1052	408030	1986	3	мне	1986	ref:ds|str:pron|type:coref		
2	1	408035	1052	408034	2000	4	моей	2000	ref:ds|str:poss|type:coref		
2	1	408036	1053	408029	2099	5	ваших	2099	ref:ds|str:poss|type:coref		
2	1	408125	1040	408013	2099	17	ваших троглодитах	2099,2105	ref:def|str:noun|type:coref	троглодитах	2105
2	1	408037	1052	408035	2148	2	он	2148	ref:def|str:pron|type:coref		
2	1	408038	1051	0	2208	18	Мадам Мордатенкова	2208,2214	ref:def|str:noun|type:coref	Мадам Мордатенкова	2208,2214
2	1	408039	1051	408038	2289	3	ней	2289	ref:def|str:pron|type:coref		
2	1	408040	1050	0	2324	17	невысокий человек	2324,2334	ref:def|str:noun|type:coref	человек	2334
2	1	408131	1038	0	2357	35	нижней , влажной и отвисшей его губе	2357,2363,2365,2373,2375,2384,2388	ref:def|str:noun|type:coref	губе	2388
2	1	408041	1050	408040	2384	3	его	2384	ref:def|str:poss|type:coref		
2	1	408133	1037	0	2399	6	окурок	2399	ref:def|str:noun|type:coref		
2	1	408042	1051	408038	2412	2	Ты	2412	ref:ds|str:pron|type:coref		
2	1	408043	1053	408033	2424	8	Сергеева	2424	ref:ds|str:noun|type:coref		
2	1	408044	1050	408040	2451	17	человек в кепочке	2451,2459,2461	ref:def|str:noun|type:coref	человек	2451
2	1	408126	1051	408038	2490	40	шокированная всем его видом Мордатенкова	2490,2503,2508,2512,2518	ref:def|str:noun|type:coref	Мордатенкова	2518
2	1	408045	1050	408044	2508	3	его	2508	ref:def|str:poss|type:coref		
2	1	408046	1053	408043	2534	9	Сергеевой	2534	ref:ds|str:noun|type:coref		
2	1	408047	1050	408044	2598	7	кепочка	2598	ref:def|str:noun|type:coref		
